Iteration,Value
282,-5.659289582526044
283,-5.66139101905122
284,-5.654533497399957
285,-5.672584014938398
286,-5.665735500599332
287,-5.658935730134566
288,-5.652184184992245
289,-5.65426617550464
290,-5.647578618548637
291,-5.640937991816887
292,-5.6343438030343105
293,-5.636458937866943
294,-5.629926094332683
295,-5.62343846078828
296,-5.616995569544182
297,-5.619141246281143
298,-5.621272226602098
299,-5.614902696818473
300,-5.60857649716943
301,-5.602293187009534
302,-5.596052331648015
303,-5.589853502248527
304,-5.583696275730914
305,-5.577580234674958
306,-5.579792925559374
307,-5.581990914178778
308,-5.5759412753901065
309,-5.569931568210602
310,-5.56396139857833
311,-5.558030377599385
312,-5.560263570809845
313,-5.562482215530334
314,-5.556613766778613
315,-5.550783301513957
316,-5.544990452154234
317,-5.539234855845057
318,-5.533516154384015
319,-5.527833994146366
320,-5.530106457540804
321,-5.532364492596231
322,-5.548688110944423
323,-5.543029788827879
324,-5.537407053642886
325,-5.531819570716105
326,-5.534036970495118
327,-5.550101116663747
328,-5.56606548552698
329,-5.581931003809018
330,-5.576292327871336
331,-5.5706883514778855
332,-5.565118755307708
333,-5.580793095171064
334,-5.575226652807737
335,-5.5696940489998115
336,-5.564194976124054
337,-5.558729130274736
338,-5.553296211207644
339,-5.568723633668356
340,-5.563293323387912
341,-5.557895432870336
342,-5.55992963545108
343,-5.554573761161907
344,-5.569769187580437
345,-5.564415886142147
346,-5.559094074712317
347,-5.55380347625275
348,-5.548543816965462
349,-5.543314826245446
350,-5.538116236634267
351,-5.532947783774458
352,-5.54785437367865
353,-5.549853028221363
354,-5.544695404577048
355,-5.539567337515223
356,-5.534468573693751
357,-5.536482587728811
358,-5.531421557650035
359,-5.546036873040899
360,-5.560569616028425
361,-5.555483504433979
362,-5.557410201050737
363,-5.552361432980566
364,-5.547340870318609
365,-5.542348277365075
366,-5.537383421039062
367,-5.532446070842277
368,-5.5466951918914
369,-5.541759392464702
370,-5.536850712815074
371,-5.531968930040238
372,-5.533907232143953
373,-5.547958242112566
374,-5.543086072976391
375,-5.538240311261008
376,-5.533420742852194
377,-5.535329009043967
378,-5.5305431783744945
379,-5.525783008995474
380,-5.521048295067679
381,-5.522969199614165
382,-5.51826715387051
383,-5.520185244974302
384,-5.522093187447915
385,-5.523991061623514
386,-5.537587474331413
387,-5.532908767049703
388,-5.534763423418682
389,-5.548225210539325
390,-5.543555353220213
391,-5.556924372797887
392,-5.552256174940898
393,-5.547612102137434
394,-5.542991967853574
395,-5.538395587473488
396,-5.533822778274838
397,-5.535632406719148
398,-5.53108997711017
399,-5.544218572309954
400,-5.539677408420842
401,-5.552717789388447
402,-5.565692309846115
403,-5.578601467480319
404,-5.574019554245444
405,-5.57569215561325
406,-5.571140425224217
407,-5.5666113967323865
408,-5.562104900720614
409,-5.557620769453317
410,-5.559313261360611
411,-5.560997395283177
412,-5.556549125836667
413,-5.569163569976196
414,-5.564717090638019
415,-5.566371541516655
416,-5.561953562147102
417,-5.557557081460613
418,-5.553181942913378
419,-5.5488279914777525
420,-5.544495073623941
421,-5.546174332482678
422,-5.558540807382059
423,-5.560178329426706
424,-5.5558597209831015
425,-5.551561726422283
426,-5.54728419850223
427,-5.543026991379897
428,-5.538789960594636
429,-5.534572963051859
430,-5.530375857006926
431,-5.5425176264977924
432,-5.5383215757313655
433,-5.539968100144173
434,-5.541606930517668
435,-5.537442345598047
436,-5.549426498028342
437,-5.5452630954807125
438,-5.541118967944877
439,-5.53699398187572
440,-5.532888004958956
441,-5.528800906096981
442,-5.524732555394924
443,-5.52068282414688
444,-5.532486351695917
445,-5.528437407842396
446,-5.524406868279118
447,-5.520394607806829
448,-5.516400502359303
449,-5.5180370418573625
450,-5.519666209555882
451,-5.515700667511936
452,-5.511752908167739
453,-5.5133852003194885
454,-5.509460233354489
