x1,x2,x3,x4
-187.0,-326.0,-10.0,-40.0
-40.0,-89.0,41.0,-40.0
-40.0,23.0,39.0,-12.0
15.0,25.0,29.0,-40.0
-30.0,-18.0,33.0,-40.0
15.0,15.0,-69.0,-40.0
39.0,41.0,39.0,-40.0
-16.0,39.0,43.0,-40.0
41.0,-65.0,-18.0,-10.0
-185.0,39.0,-122.0,-89.0
-40.0,29.0,-126.0,11.0
31.0,-40.0,-65.0,-40.0
-65.0,-34.0,33.0,-63.0
13.0,-63.0,43.0,-89.0
39.0,19.0,39.0,27.0
-14.0,-236.0,33.0,-67.0
-138.0,23.0,35.0,-179.0
37.0,23.0,43.0,-16.0
-89.0,-14.0,-75.0,39.0
35.0,-36.0,-12.0,-40.0
21.0,-136.0,21.0,-16.0
-77.0,-36.0,33.0,-40.0
-10.0,41.0,-69.0,-40.0
15.0,39.0,21.0,35.0
39.0,19.0,37.0,-40.0
-8.0,31.0,39.0,35.0
33.0,35.0,35.0,-40.0
-63.0,31.0,-59.0,-14.0
-20.0,-69.0,-20.0,-40.0
-40.0,-38.0,-20.0,33.0
-40.0,11.0,-6.0,-40.0
27.0,-34.0,-8.0,-40.0
35.0,-234.0,-61.0,-136.0
-236.0,19.0,-14.0,31.0
-40.0,-40.0,-232.0,-40.0
43.0,39.0,37.0,-40.0
-40.0,41.0,33.0,-40.0
-89.0,-285.0,-6.0,25.0
-40.0,-26.0,-6.0,39.0
23.0,-40.0,21.0,-40.0
-40.0,13.0,-10.0,-112.0
-40.0,27.0,-214.0,-40.0
-40.0,35.0,-71.0,-40.0
17.0,-28.0,41.0,-40.0
-40.0,-26.0,35.0,-40.0
-40.0,-124.0,21.0,-40.0
-8.0,41.0,-12.0,-40.0
27.0,-10.0,39.0,-40.0
-40.0,11.0,39.0,-40.0
-40.0,-81.0,39.0,-40.0
