Iteration,Value
10,2.375
20,3.9305555555555545
30,2.9722222222222223
40,2.8958333333333344
50,2.2566550925925926
60,1.4774305555555558
70,1.2730034722222228
80,1.0911458333333335
90,0.8393147786458344
100,0.5149332682291674
110,0.04571533203125022
120,-0.2531206342909065
130,-0.9493181440565324
140,-0.9493181440565324
150,-1.4668040746524011
160,-1.6732841008975183
170,-2.012739026620064
180,-2.1233350633655066
190,-2.2666902689286217
200,-2.4633786472273456
210,-2.4826794413872704
220,-2.6667674879778125
230,-2.908394302595381
240,-3.0731403002039337
250,-3.276439665439852
260,-3.4020395077420904
270,-3.6245445534598257
280,-3.8002151584235966
290,-3.8768842895695617
300,-4.036230535851038
310,-4.274060447780039
320,-4.522641973616866
330,-4.711595243909109
340,-5.117865901323575
350,-5.368393207660239
360,-5.62224885569513
370,-5.969352357073553
380,-6.158273731668752
390,-6.290865217618625
400,-6.326202938608149
410,-6.499206193665046
420,-6.609135820089158
430,-4.000165009988182
440,-4.114546586645943
450,-4.245642766510419
460,-4.324558629334727
470,-2.858552019248662
480,-1.9830678781102928
490,-2.037026184385776
500,-2.164404010690764
510,-2.204775066662336
520,-2.2776962257908515
530,-2.3339040141401153
540,-2.4243582912952117
550,-2.5157394054232682
560,2.0905281299147696
570,3.6067571720755973
580,4.9753117042803625
590,5.073836239318689
600,5.090078523435965
610,5.0378714009042005
620,5.006159602258461
630,5.081290343637467
640,5.036802458755763
650,5.004498739577016
660,4.969098647474558
670,5.039868858164522
680,5.121844159340198
690,9.539500855265183
700,11.33702375309646
710,11.500013560815392
720,11.764744162227167
730,11.783173065445228
740,12.265898855582861
750,12.231726286093984
760,12.21606897122572
770,12.192194018600675
780,12.134285083899599
790,13.600349954196197
800,13.578607103560309
810,13.547526279853674
820,13.490013982956501
830,14.106270588487208
840,15.482190689487222
850,15.68588470026355
860,15.84082679336008
870,16.209886483866992
880,16.511312098351578
890,16.502422886499183
900,16.52678938366034
910,16.514086939655616
920,16.8695082101529
930,16.968393648915306
940,17.028732605167075
950,17.524972220451037
960,17.531576064804277
970,18.390921446335874
980,19.783620707810446
