Message,MaxUCT,DPUCT,UCTStar,MCTS
Baseline - MausamKolobov,0.01,0.01,0.15,0.02
Baseline - maze-7-A2,0.60,0.27,1.38,1.02
Baseline - maze-15-A2,1.00,1.00,1.00,1.00
Mutables - MausamKolobov,0.02,0.02,0.19,0.02
Mutables - maze-7-A2,0.74,0.32,1.70,1.02
Mutables - maze-15-A2,1.16,1.16,1.21,1.00
Outcomes - MausamKolobov,0.01,0.01,0.15,0.02
Outcomes - maze-7-A2,0.61,0.27,1.40,1.02
Outcomes - maze-15-A2,1.02,1.03,1.04,1.00
