Iteration,Value
213,-5.8976
214,-5.8976
215,-5.8976
216,-5.8976
217,-5.8976
218,-5.8976
219,-5.8976
220,-5.8976
221,-5.8976
222,-5.8976
223,-5.8976
224,-5.8976
225,-5.8976
226,-5.8976
227,-5.8976
228,-5.8976
229,-5.8976
230,-5.8976
231,-5.8976
232,-5.8976
233,-5.8976
234,-5.8976
235,-5.8976
236,-5.8976
237,-5.8976
238,-5.8976
239,-5.8976
240,-5.8976
241,-5.8976
242,-5.8976
243,-5.8976
244,-5.8976
245,-5.8976
246,-5.8976
247,-5.8976
248,-5.8976
249,-5.8976
250,-5.8976
251,-5.8976
252,-5.8976
253,-5.8976
254,-5.8976
255,-5.8976
256,-5.8976
257,-5.8976
258,-5.8976
259,-5.8976
260,-5.8976
261,-5.8976
262,-5.8976
263,-5.8976
264,-5.8976
265,-5.8976
266,-5.8976
267,-5.8976
268,-5.8976
269,-5.8976
270,-5.8976
271,-5.8976
272,-5.8976
273,-5.8976
274,-5.8976
275,-5.8976
276,-5.8976
277,-5.8976
278,-5.8976
279,-5.8976
280,-5.8976
281,-5.8976
282,-5.8976
283,-5.8976
284,-5.8976
285,-5.8976
286,-5.8976
287,-5.8976
288,-5.8976
289,-5.8976
290,-5.8976
291,-5.8976
292,-5.8976
293,-5.8976
294,-5.8976
295,-5.8976
296,-5.8976
297,-5.8976
298,-5.8976
299,-5.8976
300,-5.8976
301,-5.8976
302,-5.8976
303,-5.8976
304,-5.8976
305,-5.8976
306,-5.8976
307,-5.8976
308,-5.8976
309,-5.8976
310,-5.8976
311,-5.8976
312,-5.8976
313,-5.8976
314,-5.8976
315,-5.8976
316,-5.8976
317,-5.8976
318,-5.8976
319,-5.8976
320,-5.8976
321,-5.8976
322,-5.8976
323,-5.8976
324,-5.8976
325,-5.8976
326,-5.8976
327,-5.8976
328,-5.8976
329,-5.8976
330,-5.8976
331,-5.8976
332,-5.8976
333,-5.8976
334,-5.8976
335,-5.8976
336,-5.8976
337,-5.8976
338,-5.8976
339,-5.8976
340,-5.8976
341,-5.8976
342,-5.8976
343,-5.8976
344,-5.8976
345,-5.8976
346,-5.8976
347,-5.8976
348,-5.8976
349,-5.8976
350,-5.8976
351,-5.8976
352,-5.8976
353,-5.8976
354,-5.8976
355,-5.8976
356,-5.8976
357,-5.8976
358,-5.8976
359,-5.8976
360,-5.8976
361,-5.8976
362,-5.8976
363,-5.9488
364,-5.9488
365,-5.9488
366,-5.9488
367,-5.9488
368,-5.9488
369,-5.9488
370,-5.9488
371,-5.9488
372,-5.9488
373,-5.9488
374,-5.9488
375,-5.9488
376,-5.9488
377,-5.9488
378,-5.9488
379,-5.9488
380,-5.9488
381,-5.9488
382,-5.9488
383,-5.9488
384,-5.9488
385,-5.9488
386,-5.9488
387,-5.9488
388,-5.9488
389,-5.9488
390,-5.9488
391,-5.9488
392,-5.9488
393,-5.9488
394,-5.9488
395,-5.9488
396,-5.9488
397,-5.9488
398,-5.9488
399,-5.9488
400,-5.9488
401,-5.9488
402,-5.9488
403,-5.9488
404,-5.9488
405,-5.9488
406,-5.9488
407,-5.9488
408,-5.9488
409,-5.9488
410,-5.9488
411,-5.9488
412,-5.9488
413,-5.9488
414,-5.9488
415,-5.9488
416,-5.9488
417,-5.9488
418,-5.9488
419,-5.9488
420,-5.9488
421,-5.9488
422,-5.9488
423,-5.9488
424,-5.9488
425,-5.9488
426,-5.9488
427,-5.9488
428,-5.9488
429,-5.9488
430,-5.9488
431,-5.9488
432,-5.9488
433,-5.9488
434,-5.9488
435,-5.9488
436,-5.9488
437,-5.9488
438,-5.9488
439,-5.9488
440,-5.9488
441,-5.9488
442,-5.9488
443,-5.9488
444,-5.9488
445,-5.9488
446,-5.9488
447,-5.9488
448,-5.9488
449,-5.9488
450,-5.9488
451,-5.9488
452,-5.9488
453,-5.9488
454,-5.9488
455,-5.9488
456,-5.9488
457,-5.9488
458,-5.9488
459,-5.9488
460,-5.9488
461,-5.9488
462,-5.9488
463,-5.9488
464,-5.9488
465,-5.9488
466,-5.9488
467,-5.9488
468,-5.9488
469,-5.9488
470,-5.9488
471,-5.9488
472,-5.9488
473,-5.9488
474,-5.9488
475,-5.9488
476,-5.9488
477,-5.9488
478,-5.9488
479,-5.9488
480,-5.9488
481,-5.9488
482,-5.9488
483,-5.9488
484,-5.9488
485,-5.9488
486,-5.9488
487,-5.9488
488,-5.9488
489,-5.9488
490,-5.9488
491,-5.9488
492,-5.9488
493,-5.9488
494,-5.9488
495,-5.9488
496,-5.9488
497,-5.9488
498,-5.9488
499,-5.9488
500,-5.9488
501,-5.9488
502,-5.9488
503,-5.9488
504,-5.9488
505,-5.9488
506,-5.9488
507,-5.9488
508,-5.9488
509,-5.9488
510,-5.9488
511,-5.9488
512,-5.9488
513,-5.9488
514,-5.9488
515,-5.9488
516,-5.9488
517,-5.9488
518,-5.9488
519,-5.9488
520,-5.9488
521,-5.9488
522,-5.9488
523,-5.9488
524,-5.9488
525,-5.9488
526,-5.9488
527,-5.9488
528,-5.9488
529,-5.9488
530,-5.9488
531,-5.9488
532,-5.9488
533,-5.9488
534,-5.9488
535,-5.9488
536,-5.9488
537,-5.9488
538,-5.9488
539,-5.9488
540,-5.9488
541,-5.9488
542,-5.9488
543,-5.9488
544,-5.9488
545,-5.9488
546,-5.9488
547,-5.9488
548,-5.9488
549,-5.9488
550,-5.9488
551,-5.9488
552,-5.9488
553,-5.9488
554,-5.9488
555,-5.9488
556,-5.9488
557,-5.9488
558,-5.9488
559,-5.9488
560,-5.9488
561,-5.9488
562,-5.9488
563,-5.9488
564,-5.9488
565,-5.9488
566,-5.95904
567,-5.95904
568,-5.95904
569,-5.95904
570,-5.95904
571,-5.95904
572,-5.95904
573,-5.95904
574,-5.95904
575,-5.95904
576,-5.95904
577,-5.95904
578,-5.95904
579,-5.95904
580,-5.95904
581,-5.95904
582,-5.95904
583,-5.95904
584,-5.95904
585,-5.95904
586,-5.95904
587,-5.95904
588,-5.95904
589,-5.95904
590,-5.95904
591,-5.95904
592,-5.95904
593,-5.95904
594,-5.95904
595,-5.95904
596,-5.95904
597,-5.95904
598,-5.95904
599,-5.95904
600,-5.95904
601,-5.95904
602,-5.95904
603,-5.95904
604,-5.95904
605,-5.95904
606,-5.95904
607,-5.95904
608,-5.95904
609,-5.95904
610,-5.95904
611,-5.95904
612,-5.95904
613,-5.95904
614,-5.95904
615,-5.95904
616,-5.95904
617,-5.95904
618,-5.95904
619,-5.95904
620,-5.95904
621,-5.95904
622,-5.95904
623,-5.95904
624,-5.95904
625,-5.95904
626,-5.95904
627,-5.95904
628,-5.95904
629,-5.95904
630,-5.95904
631,-5.95904
632,-5.95904
633,-5.95904
634,-5.95904
635,-5.95904
636,-5.95904
637,-5.95904
638,-5.95904
639,-5.95904
640,-5.95904
641,-5.95904
642,-5.95904
643,-5.95904
644,-5.95904
645,-5.95904
646,-5.95904
647,-5.95904
648,-5.95904
649,-5.95904
650,-5.95904
651,-5.95904
652,-5.95904
653,-5.95904
654,-5.95904
655,-5.95904
656,-5.95904
657,-5.95904
658,-5.95904
659,-5.95904
660,-5.95904
661,-5.95904
662,-5.95904
663,-5.95904
664,-5.95904
